example_id                                                   | status | run_time        |
./spec/services/live_updates_broadcaster_spec.rb[1:1:3]      | failed | 0.00038 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:1:4]      | failed | 0.00047 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:1:5]      | failed | 0.00038 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:1:6]      | failed | 0.00044 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:2:1]      | failed | 0.0003 seconds  |
./spec/services/live_updates_broadcaster_spec.rb[1:3:1]      | failed | 0.00033 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:3:2]      | failed | 0.00033 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:4:1]      | failed | 0.00029 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:4:2]      | failed | 0.00028 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:4:3]      | failed | 0.00032 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:5:1]      | failed | 0.00035 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:5:2]      | failed | 0.00031 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:6:1]      | passed | 0.00029 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:6:2]      | passed | 0.00422 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:7:1]      | failed | 0.00038 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:8:1:1]    | failed | 0.00066 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:8:2:1]    | failed | 0.00035 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:8:2:2]    | failed | 0.0005 seconds  |
./spec/services/live_updates_broadcaster_spec.rb[1:9:1]      | failed | 0.00032 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:10:1]     | failed | 0.0003 seconds  |
./spec/services/live_updates_broadcaster_spec.rb[1:11:1]     | failed | 0.0003 seconds  |
./spec/services/live_updates_broadcaster_spec.rb[1:12:1:1]   | failed | 0.00044 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:12:1:2]   | passed | 0.00052 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:12:1:3]   | failed | 0.00031 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:12:2:1:1] | failed | 0.00032 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:12:2:2:1] | failed | 0.00031 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:12:3:1]   | passed | 0.00018 seconds |
./spec/services/live_updates_broadcaster_spec.rb[1:12:3:2]   | failed | 0.00042 seconds |
./spec/system/live_demo_spec.rb[1:1:1]                       | failed | 0.00038 seconds |
./spec/system/live_demo_spec.rb[1:1:2]                       | failed | 0.00036 seconds |
./spec/system/live_demo_spec.rb[1:2:1]                       | failed | 0.0003 seconds  |
./spec/system/live_demo_spec.rb[1:2:2]                       | failed | 0.00085 seconds |
./spec/system/live_demo_spec.rb[1:2:3]                       | failed | 0.0003 seconds  |
./spec/system/live_demo_spec.rb[1:3:1]                       | failed | 0.00028 seconds |
./spec/system/live_demo_spec.rb[1:3:2]                       | failed | 0.00031 seconds |
./spec/system/live_demo_spec.rb[1:3:3]                       | failed | 0.00033 seconds |
./spec/system/live_demo_spec.rb[1:4:1]                       | failed | 0.00028 seconds |
./spec/system/live_demo_spec.rb[1:4:2]                       | failed | 0.00028 seconds |
./spec/system/live_demo_spec.rb[1:5:1]                       | failed | 0.00028 seconds |
./spec/system/live_demo_spec.rb[1:5:2]                       | failed | 0.0003 seconds  |
./spec/system/live_demo_spec.rb[1:6:1]                       | failed | 0.00032 seconds |
./spec/system/live_demo_spec.rb[1:6:2]                       | failed | 0.00034 seconds |
./spec/system/live_demo_spec.rb[1:7:1]                       | failed | 0.00034 seconds |
./spec/system/live_demo_spec.rb[1:7:2]                       | failed | 0.00029 seconds |
